Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
Zambia,ZMB,2020,Number of infant deaths,SH.DTH.IMRT,23158
Zambia,ZMB,2019,Number of infant deaths,SH.DTH.IMRT,23054
Zambia,ZMB,2018,Number of infant deaths,SH.DTH.IMRT,23676
Zambia,ZMB,2017,Number of infant deaths,SH.DTH.IMRT,24003
Zambia,ZMB,2016,Number of infant deaths,SH.DTH.IMRT,24831
Zambia,ZMB,2015,Number of infant deaths,SH.DTH.IMRT,25642
Zambia,ZMB,2014,Number of infant deaths,SH.DTH.IMRT,25753
Zambia,ZMB,2013,Number of infant deaths,SH.DTH.IMRT,26386
Zambia,ZMB,2012,Number of infant deaths,SH.DTH.IMRT,27036
Zambia,ZMB,2011,Number of infant deaths,SH.DTH.IMRT,27384
Zambia,ZMB,2010,Number of infant deaths,SH.DTH.IMRT,27620
Zambia,ZMB,2009,Number of infant deaths,SH.DTH.IMRT,27924
Zambia,ZMB,2008,Number of infant deaths,SH.DTH.IMRT,28335
Zambia,ZMB,2007,Number of infant deaths,SH.DTH.IMRT,28875
Zambia,ZMB,2006,Number of infant deaths,SH.DTH.IMRT,29127
Zambia,ZMB,2005,Number of infant deaths,SH.DTH.IMRT,30149
Zambia,ZMB,2004,Number of infant deaths,SH.DTH.IMRT,31909
Zambia,ZMB,2003,Number of infant deaths,SH.DTH.IMRT,34083
Zambia,ZMB,2002,Number of infant deaths,SH.DTH.IMRT,36253
Zambia,ZMB,2001,Number of infant deaths,SH.DTH.IMRT,38247
Zambia,ZMB,2000,Number of infant deaths,SH.DTH.IMRT,39692
Zambia,ZMB,1999,Number of infant deaths,SH.DTH.IMRT,40301
Zambia,ZMB,1998,Number of infant deaths,SH.DTH.IMRT,40260
Zambia,ZMB,1997,Number of infant deaths,SH.DTH.IMRT,39865
Zambia,ZMB,1996,Number of infant deaths,SH.DTH.IMRT,39558
Zambia,ZMB,1995,Number of infant deaths,SH.DTH.IMRT,39332
Zambia,ZMB,1994,Number of infant deaths,SH.DTH.IMRT,39021
Zambia,ZMB,1993,Number of infant deaths,SH.DTH.IMRT,38504
Zambia,ZMB,1992,Number of infant deaths,SH.DTH.IMRT,37975
Zambia,ZMB,1991,Number of infant deaths,SH.DTH.IMRT,37310
Zambia,ZMB,1990,Number of infant deaths,SH.DTH.IMRT,36381
Zambia,ZMB,1989,Number of infant deaths,SH.DTH.IMRT,35213
Zambia,ZMB,1988,Number of infant deaths,SH.DTH.IMRT,33765
Zambia,ZMB,1987,Number of infant deaths,SH.DTH.IMRT,32220
Zambia,ZMB,1986,Number of infant deaths,SH.DTH.IMRT,30506
Zambia,ZMB,1985,Number of infant deaths,SH.DTH.IMRT,28712
Zambia,ZMB,1984,Number of infant deaths,SH.DTH.IMRT,27010
Zambia,ZMB,1983,Number of infant deaths,SH.DTH.IMRT,25496
Zambia,ZMB,1982,Number of infant deaths,SH.DTH.IMRT,24191
Zambia,ZMB,1981,Number of infant deaths,SH.DTH.IMRT,23175
Zambia,ZMB,1980,Number of infant deaths,SH.DTH.IMRT,22444
Zambia,ZMB,1979,Number of infant deaths,SH.DTH.IMRT,21833
Zambia,ZMB,1978,Number of infant deaths,SH.DTH.IMRT,21237
Zambia,ZMB,1977,Number of infant deaths,SH.DTH.IMRT,20631
Zambia,ZMB,1976,Number of infant deaths,SH.DTH.IMRT,20124
